Day,한국,호주,오스트리아,벨기에,캐나다,칠레,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,이스라엘,이탈리아,일본,라트비아,룩셈부르크,멕시코,네덜란드,뉴질랜드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,터키,영국,미국
1980,1714.60 ,11699.20 ,10869.10 ,12897.30 ,,11259.50 ,,,13881.10 ,,11224.80 ,12714.70 ,12136.60 ,5834.50 ,,8456.60 ,9442.90 ,,17102.00 ,3367.90 ,13794.70 ,7431.50 ,15770.70 ,,3335.70 ,,,6127.50 ,17099.20 ,19210.00 ,2132.70 ,10029.40 ,12547.10 
1981,1883.50 ,13522.80 ,9384.90 ,10642.10 ,,12379.00 ,,,12080.80 ,,10927.10 ,11097.00 ,10207.60 ,5325.10 ,,7621.80 ,10339.00 ,,14317.50 ,4222.30 ,11521.40 ,7976.10 ,15511.40 ,,3215.00 ,,,5306.90 ,15587.40 ,17473.00 ,2149.00 ,9594.40 ,13943.20 
1982,1992.30 ,12636.10 ,9410.00 ,9350.50 ,,12527.00 ,,,11803.90 ,,10937.70 ,10480.60 ,9913.60 ,5520.40 ,,7556.40 ,9555.60 ,,13031.30 ,2867.70 ,11073.80 ,7880.30 ,15224.00 ,,3050.20 ,,,5101.20 ,13739.50 ,17803.80 ,1904.50 ,9149.00 ,14399.40 
1983,2199.00 ,12487.70 ,9537.10 ,8847.50 ,,13477.00 ,,,11858.60 ,,10497.20 ,9979.00 ,9865.40 ,4967.40 ,,7832.40 ,10401.20 ,,12806.90 ,2402.70 ,10679.80 ,7715.10 ,14929.10 ,,2710.20 ,,,4428.10 ,12608.40 ,17699.60 ,1775.20 ,8693.80 ,15508.00 
1984,2413.30 ,13235.70 ,8991.00 ,8457.40 ,,13930.80 ,,,11564.30 ,,10833.80 ,9412.70 ,9314.60 ,4802.90 ,,7739.80 ,10958.70 ,,12553.80 ,2772.50 ,9978.20 ,7350.50 ,14989.90 ,,2500.40 ,,,4439.90 ,13098.50 ,16840.20 ,1684.20 ,8181.00 ,17080.00 
1985,2482.40 ,11511.40 ,9172.30 ,8751.70 ,,14170.00 ,,,12254.80 ,,11398.00 ,9762.00 ,9431.50 ,4764.00 ,,7990.30 ,11556.40 ,,12924.90 ,2851.30 ,9929.10 ,7367.90 ,15751.70 ,,2682.50 ,,,4647.00 ,13667.60 ,17000.90 ,1841.20 ,8651.10 ,18192.30 
1986,2834.90 ,11922.90 ,13083.00 ,12173.70 ,,14521.50 ,1637.60 ,,17202.90 ,,14950.30 ,13546.10 ,13467.60 ,5598.60 ,,11314.40 ,17088.20 ,,18792.10 ,1959.60 ,13789.80 ,9229.70 ,18884.80 ,,3833.00 ,,,6440.10 ,17980.90 ,24223.90 ,2026.40 ,10610.70 ,19027.60 
1987,3554.60 ,13944.00 ,16393.40 ,15136.40 ,,16377.90 ,1879.30 ,,21340.80 ,,18571.60 ,16313.30 ,16703.80 ,6496.60 ,,14235.50 ,20720.10 ,,23237.30 ,2080.80 ,16711.10 ,11618.30 ,22505.60 ,,4774.80 ,,,8147.60 ,21792.20 ,30126.10 ,2293.00 ,13117.60 ,19993.20 
1988,4748.70 ,17369.60 ,17577.80 ,16387.90 ,,19012.60 ,2156.40 ,,22524.80 ,,22047.60 ,17689.60 ,17937.20 ,7519.80 ,,15743.80 ,25024.90 ,,26077.20 ,2497.50 ,17744.70 ,13945.40 ,24210.20 ,,5598.20 ,,,9594.30 ,24536.60 ,32334.70 ,2349.60 ,15991.50 ,21367.90 
1989,5817.10 ,18993.20 ,17468.80 ,16521.20 ,,20795.20 ,2418.50 ,,21903.70 ,,23972.10 ,17694.10 ,17782.10 ,7765.10 ,,16386.00 ,24795.40 ,,27519.10 ,2981.40 ,17401.00 ,13375.50 ,24280.50 ,,6039.30 ,,,10558.90 ,25662.50 ,30979.70 ,2723.60 ,16239.90 ,22804.70 
