Day,주거용[동],상업용[동],공업용[동],교육 및 사회용[동],기타[동]
06-Jan,1382,1921,1477,404,1399
06-Feb,2296,2309,1429,528,1459
06-Mar,3581,3571,2354,633,2468
06-Apr,3778,3277,1789,630,2571
06-May,4113,3441,1891,617,2608
06-Jun,4179,3407,2245,751,3224
06-Jul,3290,3363,1967,536,2869
06-Aug,4103,3755,2198,704,2709
06-Sep,4983,3749,2225,780,2963
06-Oct,4159,3455,1958,700,2856
06-Nov,4562,4146,2291,854,3791
06-Dec,3311,3235,2185,661,2950
07-Jan,2839,2991,1775,530,1903
07-Feb,3087,3118,1595,511,1720
07-Mar,6426,4719,2229,892,2997
07-Apr,6604,4905,2158,756,3912
07-May,6523,5131,2402,858,3773
07-Jun,5484,4175,2027,633,3117
07-Jul,4823,3905,1796,754,3077
07-Aug,5247,3860,1944,811,2982
07-Sep,4285,3357,1420,633,2415
07-Oct,6004,4939,2210,859,3893
07-Nov,5174,4395,2019,756,4246
07-Dec,3769,3732,1829,575,3516
08-Jan,3454,3531,1814,653,2450
08-Feb,3209,2727,1327,428,1977
08-Mar,6056,4675,2165,610,3145
08-Apr,7537,5284,2251,719,3560
08-May,6908,5620,2188,806,3378
08-Jun,5962,4453,2001,706,3218
08-Jul,6156,4602,1960,778,3154
08-Aug,5106,3599,1538,764,2618
08-Sep,5450,4106,1556,783,2828
08-Oct,5927,4447,1767,905,3434
08-Nov,4397,3626,1397,799,3201
08-Dec,3781,3731,1962,727,3692
09-Jan,2049,1989,820,522,1845
09-Feb,2893,2604,909,528,2218
09-Mar,5515,3610,1309,850,3236
09-Apr,6388,4245,1487,871,3925
09-May,5510,3786,1476,729,3502
09-Jun,5950,4210,1565,862,3665
09-Jul,5598,3808,1447,878,3042
09-Aug,5302,3501,1486,748,2475
09-Sep,6506,4075,1670,763,2984
09-Oct,6375,3898,1626,689,3286
09-Nov,6033,4053,1757,790,3330
09-Dec,5071,3812,1853,957,3255
10-Jan,3361,2411,1290,502,1964
10-Feb,3883,2673,1196,422,2067
10-Mar,6976,4253,1771,769,3399
10-Apr,8417,4868,2200,920,4677
10-May,7348,4246,1726,856,3908
10-Jun,7139,4714,1979,795,3678
10-Jul,5776,3886,1677,684,3653
10-Aug,5552,3804,1866,735,2801
10-Sep,5106,3460,1614,603,2627
10-Oct,6704,4153,2081,761,3637
10-Nov,6388,4566,2251,892,4164
