Day,한국,일본
1980 1,0.9,0.4
1980 2,-0.5,-0.5
1980 3,1.9,2.2
1980 4,-2.8,2.1
1981 1,4.1,0.6
1981 2,2.4,1.2
1981 3,4.2,-0.2
1981 4,1.6,0.7
1982 1,0.7,1.5
1982 2,2.3,0.7
1982 3,2.1,0.4
1982 4,3.1,1.4
1983 1,4.4,0.1
1983 2,3.1,0.8
1983 3,3.7,1.5
1983 4,0.7,0.8
1984 1,4.4,1.2
1984 2,2.5,1.5
1984 3,1.4,1.2
1984 4,0.5,0.2
1985 1,2.8,2.5
1985 2,2.4,2
1985 3,1.1,1.3
1985 4,3,1.3
1986 1,1.9,0.4
1986 2,3.9,-0.2
1986 3,4.3,0.6
1986 4,1.6,0.8
1987 1,3.2,-0.1
1987 2,5,2.1
1987 3,1,2
1987 4,2,2.6
1988 1,7.7,2.4
1988 2,-2.2,-0.1
1988 3,3.1,2.2
1988 4,3.3,1.1
1989 1,0,2.7
1989 2,1.5,-1.3
1989 3,2.6,1.7
1989 4,4.1,3.1
1990 1,1,-0.5
1990 2,2.2,3.2
1990 3,3.2,1.7
1990 4,2,-0.2
1991 1,3.8,0.9
1991 2,1.7,1.2
1991 3,2.1,-0.2
1991 4,2.5,0.7
1992 1,1.8,0
1992 2,0.7,0.4
1992 3,0.1,0.1
1992 4,1.6,-0.6
1993 1,2,1.1
1993 2,2.6,-0.6
1993 3,1.8,-0.7
1993 4,1.9,0.6
1994 1,2.9,0.9
1994 2,1.6,-0.6
1994 3,1.7,1.2
1994 4,3.9,-0.4
1995 1,2.1,1.1
1995 2,2,0.9
1995 3,2.1,1.2
1995 4,1.9,0.2
1996 1,1.9,0.8
1996 2,2,1.3
1996 3,1.8,0.1
1996 4,1.7,1.1
1997 1,0.5,0.3
1997 2,3.6,-0.8
1997 3,0.8,0.2
1997 4,-0.5,0
1998 1,-6.8,-1.2
1998 2,-0.8,-0.4
1998 3,1.7,0.2
1998 4,2.5,0.8
1999 1,3,-1.4
1999 2,4.4,0.4
1999 3,2.8,0.5
1999 4,2.9,0
2000 1,1.9,1.7
2000 2,1.3,0.5
2000 3,2.8,0
2000 4,-0.3,1
2001 1,1.2,0.7
2001 2,1.3,-0.7
2001 3,1.4,-1.1
2001 4,1.8,-0.3
2002 1,2.5,0.2
2002 2,1.8,0.8
2002 3,2,0.3
2002 4,1.1,0.3
2003 1,-0.7,0.1
2003 2,-0.2,0.7
2003 3,1.9,0.3
2003 4,2.6,1.1
2004 1,1.3,0.7
2004 2,0.8,0
2004 3,0.4,0.6
2004 4,0.8,-0.2
2005 1,0.9,0.5
2005 2,1.9,0.8
2005 3,1.5,1
2005 4,1,0.2
2006 1,1.6,0.1
2006 2,0.7,0.2
2006 3,1.6,-0.2
2006 4,0.8,1.3
2007 1,1.7,0.7
2007 2,1.7,0.1
2007 3,1.2,-0.5
2007 4,2.2,0.4
2008 1,0.4,0.4
2008 2,0.5,-0.6
2008 3,0.8,-1.2
2008 4,-3.3,-2.5
2009 1,0.1,-4.8
2009 2,1.3,2
2009 3,3,0
2009 4,0.7,1.2
2010 1,2,1.1
2010 2,1.9,1.2
2010 3,1.2,1.8
2010 4,1.2,-0.8
2011 1,0.9,-1.1
2011 2,0.5,-0.8
2011 3,0.5,2.4
2011 4,0.5,-0.2
2012 1,0.9,1.4
2012 2,0.6,-0.9
2012 3,0.4,-0.4
2012 4,0.5,-0.1
2013 1,0.9,1.4
2013 2,1.2,0.9
2013 3,0.9,1
2013 4,0.8,-0.1
2014 1,1,0.8
2014 2,0.9,-1.8
2014 3,0.3,0.1
2014 4,0.4,0.5
2015 1,0.9,1.5
2015 2,0.4,0.1
2015 3,1.5,0.1
2015 4,0.7,-0.1
2016 1,0.3,0.7
2016 2,1.1,-0.2
2016 3,0.4,0.2
2016 4,0.8,0.3
2017 1,0.8,0.7
2017 2,0.7,0.3
2017 3,1.5,0.8
2017 4,-0.1,0.4
2018 1,1.1,0
2018 2,0.6,0
2018 3,0.6,-0.7
2018 4,0.9,0.5
2019 1,-0.3,0.6
2019 2,1,0.1
2019 3,0.4,0.2
2019 4,1.3,-1.8
2020 1,-1.3,-0.6
2020 2,-3.2,-8.3
2020 3,2.1,5.3
2020 4,1.2,2.8
2021 1,1.6,
