Day,한국,호주,오스트리아,벨기에,캐나다,칠레,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,이스라엘,이탈리아,일본,라트비아,룩셈부르크,멕시코,네덜란드,뉴질랜드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,터키,영국,미국
1980,65367.80 ,173234.30 ,82055.30 ,126832.50 ,,276034.50 ,,,71127.00 ,,53649.10 ,701305.00 ,950333.60 ,56844.70 ,24133.90 ,477237.10 ,1105385.80 ,,6232.20 ,237095.00 ,195159.00 ,23364.60 ,64439.10 ,,32895.40 ,,,232746.70 ,142092.90 ,122660.30 ,94770.80 ,564954.30 ,2857307.00 
1981,72933.50 ,201805.40 ,71031.30 ,104728.90 ,,307245.80 ,,,61878.10 ,,52450.30 ,615551.70 ,800458.40 ,52344.20 ,25599.80 ,430710.10 ,1218988.80 ,,5231.80 ,304282.60 ,164138.20 ,25180.50 ,63596.60 ,,31978.10 ,,,202820.50 ,129685.90 ,112336.80 ,97864.60 ,540720.80 ,3207042.00 
1982,78349.50 ,191869.50 ,71272.80 ,92092.70 ,,314638.90 ,,,60412.50 ,,,584871.80 ,776578.60 ,54604.80 ,27972.60 ,427264.60 ,1134518.20 ,,4764.40 ,211468.30 ,158481.10 ,25083.10 ,62646.90 ,,30526.90 ,,,196006.60 ,114380.40 ,115141.50 ,88916.60 ,515006.80 ,3343789.00 
1983,87760.50 ,192229.80 ,72118.50 ,87182.80 ,,341863.00 ,,,60644.80 ,,50972.40 ,559889.20 ,770707.80 ,49420.80 ,31192.70 ,443031.20 ,1243323.80 ,,4683.60 ,181228.20 ,153440.10 ,24888.90 ,61627.50 ,,27241.30 ,,,170945.00 ,105014.20 ,114728.50 ,84968.70 ,489599.80 ,3634038.00 
1984,97511.30 ,206203.60 ,67984.60 ,83348.00 ,,356727.90 ,,,59105.30 ,,52888.30 ,530696.80 ,725107.70 ,48021.50 ,29261.20 ,437890.30 ,1318381.60 ,,4594.80 ,213771.20 ,143909.00 ,23947.90 ,62058.30 ,,25218.20 ,,,172104.10 ,109201.40 ,109548.10 ,82641.80 ,461483.00 ,4037613.00 
1985,101296.20 ,181745.20 ,69388.40 ,86265.80 ,,366184.00 ,,,62658.60 ,,55875.30 ,553143.00 ,732522.10 ,47816.30 ,27602.00 ,452197.80 ,1398892.50 ,,4738.40 ,224592.60 ,143847.20 ,24107.80 ,65416.60 ,,27115.00 ,,,180796.00 ,114123.20 ,111072.50 ,92621.00 ,489256.30 ,4338979.00 
1986,116836.00 ,190985.90 ,99035.60 ,120020.10 ,,379014.70 ,20170.70 ,,88078.90 ,,73528.80 ,771488.40 ,1046295.40 ,56379.20 ,34215.60 ,640353.80 ,2078952.90 ,,6921.30 ,157578.50 ,200867.00 ,30291.80 ,78692.80 ,,38744.10 ,,,251318.80 ,150498.40 ,159222.20 ,104321.50 ,601455.00 ,4579631.00 
1987,147949.30 ,226784.40 ,124173.00 ,149396.40 ,,433139.90 ,23553.50 ,,109414.20 ,,91597.10 ,934146.20 ,1298187.70 ,65645.30 ,41105.10 ,805756.10 ,2532808.60 ,,8614.30 ,170749.80 ,245040.30 ,38456.60 ,94230.80 ,,48181.70 ,,,318739.50 ,183008.40 ,199405.00 ,120082.40 ,745130.30 ,4855215.00 
1988,199592.60 ,287158.10 ,133333.50 ,162305.70 ,,509379.70 ,27490.00 ,,115552.40 ,,109058.70 ,1018813.50 ,1401165.20 ,76257.90 ,50273.10 ,891563.20 ,3071683.80 ,,9750.60 ,209101.20 ,261900.50 ,46270.90 ,101900.50 ,,56344.20 ,,,376160.40 ,206988.40 ,215721.90 ,125158.50 ,910171.00 ,5236438.00 
1989,246928.80 ,319358.70 ,133104.40 ,164221.10 ,,567225.40 ,31352.10 ,,112409.60 ,,119007.00 ,1025163.00 ,1399040.10 ,79161.70 ,50075.60 ,928625.90 ,3054913.80 ,,10391.50 ,254582.90 ,258323.60 ,44634.20 ,102633.80 ,,60594.20 ,,,414778.00 ,217949.10 ,208277.70 ,147600.00 ,926926.10 ,5641580.00 
