Day,한국,호주,오스트리아,벨기에,캐나다,칠레,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,이스라엘,이탈리아,일본,라트비아,룩셈부르크,멕시코,네덜란드,뉴질랜드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,터키,영국,미국
1980,64772.90 ,172620.50 ,82143.60 ,126901.20 ,267374.90 ,,,69963.60 ,,53815.40 ,706477.40 ,954189.00 ,58512.50 ,,22963.40 ,480235.90 ,1106180.60 ,,5340.50 ,230035.50 ,196886.80 ,22860.40 ,62526.00 ,,32218.90 ,,,229735.40 ,140098.90 ,123550.90 ,,599305.70 ,2847055.00 
1981,71939.70 ,197925.90 ,70950.60 ,104869.80 ,296986.50 ,,,60076.80 ,,52304.30 ,619459.90 ,802327.30 ,53639.50 ,,24568.50 ,430148.80 ,1218199.30 ,,4659.40 ,293202.10 ,164303.50 ,24755.70 ,61708.10 ,,30822.40 ,,,199137.60 ,127309.10 ,114188.70 ,,570056.20 ,3201886.00 
1982,77625.00 ,190373.30 ,71296.00 ,91781.70 ,303771.90 ,,,58229.30 ,,52538.00 ,586294.10 ,777699.90 ,56059.80 ,,26658.30 ,426264.60 ,1136198.00 ,,4649.80 ,199218.70 ,158622.70 ,24126.10 ,60686.40 ,,28937.10 ,,,192304.30 ,111727.60 ,115984.70 ,,541649.50 ,3371448.00 
1983,86845.30 ,189887.50 ,72299.20 ,86843.90 ,331845.20 ,,,58620.60 ,,50631.60 ,557574.80 ,774235.80 ,50535.70 ,,29666.50 ,442601.50 ,1246296.70 ,,4685.30 ,170362.80 ,154381.20 ,23687.10 ,59859.10 ,,25922.50 ,,,167316.70 ,102305.30 ,116067.60 ,,517067.10 ,3614168.00 
1984,96132.00 ,203297.20 ,68089.00 ,83202.50 ,345688.30 ,,,56865.10 ,,52562.10 ,527316.10 ,731278.50 ,48593.80 ,,27066.10 ,437385.70 ,1322544.60 ,,4540.70 ,201829.30 ,145272.30 ,22405.10 ,60446.70 ,,23754.50 ,,,168554.10 ,106434.20 ,111556.20 ,,487864.60 ,4032292.00 
1985,99075.00 ,178500.50 ,69511.10 ,86369.60 ,354992.60 ,,,60234.10 ,,55593.30 ,552412.90 ,738810.50 ,48251.00 ,,25405.10 ,451106.60 ,1405671.00 ,,4718.40 ,214319.00 ,143327.60 ,22423.00 ,64293.20 ,,25743.60 ,,,178341.70 ,111203.90 ,112855.30 ,,511088.10 ,4310074.00 
1986,114324.60 ,187489.90 ,98915.50 ,120265.80 ,366259.50 ,,,85234.40 ,,73350.70 ,774798.50 ,1052703.40 ,56564.10 ,,31957.30 ,637059.40 ,2088414.70 ,,6722.00 ,148959.60 ,200369.30 ,28738.80 ,77474.60 ,,37567.80 ,,,248142.10 ,147442.50 ,159964.30 ,,630998.10 ,4516535.00 
1987,146157.40 ,222523.10 ,124043.20 ,150164.40 ,419787.60 ,,,106339.50 ,,91285.50 ,941563.90 ,1304245.70 ,66252.00 ,,38725.60 ,803272.80 ,2549578.80 ,,8460.90 ,162767.80 ,247292.00 ,36400.50 ,92915.40 ,,47223.10 ,,,314777.90 ,180028.80 ,199293.10 ,,775126.60 ,4828878.00 
1988,198046.80 ,279227.80 ,133701.20 ,163111.90 ,492889.10 ,,,111927.90 ,,108877.90 ,1025540.50 ,1414713.00 ,76786.00 ,,47847.20 ,889164.10 ,3093132.60 ,,9394.70 ,201084.40 ,263291.70 ,43886.50 ,99454.90 ,,55651.80 ,,,370872.70 ,203471.90 ,217217.60 ,,944043.30 ,5256093.00 
1989,246202.50 ,308071.30 ,133605.70 ,164539.60 ,547722.40 ,,,108442.80 ,,117460.40 ,1029082.20 ,1414323.20 ,79844.20 ,,47890.40 ,924048.10 ,3078856.90 ,,9910.20 ,245348.20 ,260262.90 ,42380.50 ,99913.20 ,,60154.50 ,,,410283.60 ,213860.70 ,208407.60 ,,949951.00 ,5598381.00 
1990,283081.30 ,310381.30 ,167224.10 ,205978.40 ,574640.20 ,,,133536.50 ,,139011.40 ,1273557.20 ,1790847.10 ,100020.00 ,,57097.90 ,1166815.60 ,3156842.40 ,,12814.80 ,290385.80 ,316106.90 ,43523.00 ,116415.50 ,,78673.60 ,,,530485.20 ,255425.20 ,263569.30 ,,1113969.90 ,5902290.00 
1991,330321.70 ,316179.30 ,173659.10 ,211974.20 ,592215.00 ,,,134267.10 ,,124256.80 ,1272550.00 ,1875805.40 ,107873.10 ,,66005.10 ,1228401.60 ,3609952.70 ,,13976.10 ,349489.60 ,326597.30 ,40874.30 ,118015.10 ,81086.00 ,89384.60 ,,,570797.40 ,265723.10 ,266910.90 ,,1167474.20 ,6096750.00 
1992,355044.10 ,316740.40 ,195554.20 ,236369.30 ,573069.30 ,,34468.20 ,148138.60 ,,107992.20 ,1406867.30 ,2138054.20 ,119605.80 ,,73670.80 ,1298824.10 ,3942652.50 ,,15596.20 ,404492.60 ,360552.60 ,39353.00 ,128092.70 ,88499.70 ,108278.40 ,,,623333.10 ,272061.30 ,277063.80 ,,1219244.30 ,6435469.00 
1993,392206.10 ,309548.70 ,190897.20 ,228450.90 ,559377.40 ,,40902.00 ,139650.90 ,,85039.70 ,1329269.60 ,2074833.20 ,111619.60 ,39175.60 ,74013.50 ,1049866.90 ,4493790.00 ,,15701.60 ,447435.90 ,353714.90 ,42412.00 ,117849.10 ,90851.80 ,95694.40 ,,,520887.00 ,202588.90 ,270686.60 ,,1096205.20 ,6733768.00 
1994,462264.00 ,349106.70 ,203860.70 ,250893.60 ,559142.50 ,,47891.80 ,152702.70 ,,99200.90 ,1398509.80 ,2204461.70 ,119657.90 ,41957.80 ,83977.10 ,1082208.40 ,4948673.90 ,,16814.80 ,466360.60 ,381871.70 ,50075.70 ,125010.30 ,108024.70 ,99980.60 ,,,519420.70 ,221473.10 ,297198.70 ,,1197255.20 ,7170251.00 
1995,564515.30 ,377237.00 ,240127.20 ,294354.30 ,585067.30 ,,59676.80 ,181670.00 ,,130263.20 ,1606357.10 ,2582079.20 ,140503.30 ,44440.60 ,98074.60 ,1160442.90 ,5496275.90 ,5443.80 ,20425.10 ,311934.30 ,459209.60 ,59183.90 ,150185.10 ,137736.90 ,119039.10 ,20153.50 ,21459.80 ,609574.20 ,259832.40 ,360888.80 ,,1301904.70 ,7574691.00 
