Day,전국,수도권,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
07-Jan,75616,4544,697,8680,9467,243,7005,819,1180,3604,5312,2548,7449,5179,5374,6210,11772,77
07-Feb,73619,4263,590,8653,9134,312,6246,803,1210,3361,5344,2645,7363,5098,5253,5948,11563,96
07-Mar,73162,3532,687,8548,9189,266,5905,1048,1687,2579,5801,2565,7446,5184,4887,5854,11328,188
07-Apr,73393,3392,685,8074,9009,219,5829,1020,1521,2488,5460,3632,8250,4812,4664,5419,12149,162
07-May,78571,3554,704,7964,10888,362,7842,957,1500,2488,5212,4012,9195,4625,4640,6303,11723,156
07-Jun,89924,5560,778,9212,12489,883,8272,1179,1528,3899,6642,4078,11245,4662,5168,7665,12072,152
07-Jul,90658,5520,840,9557,12179,797,7186,1191,1741,3883,6850,4263,10707,5289,5041,8541,12414,179
07-Aug,91714,5817,730,9925,12075,635,7433,1478,1564,4452,6625,4378,10930,5202,5150,8389,12576,172
07-Sep,98235,9137,724,10739,11944,507,7294,2095,3240,7906,6558,4167,10963,4903,5532,8683,12811,169
07-Oct,100887,9880,977,12012,11879,330,7600,2088,3590,8573,6673,4152,11332,4536,5641,8676,12694,134
07-Nov,101500,10842,1081,11213,12212,308,7911,2017,3536,9453,6739,4234,11500,4030,4726,8523,13884,133
07-Dec,112254,14624,454,11502,12199,527,7940,1881,7672,13643,7114,4374,12770,4082,4456,8662,14857,121
08-Jan,123371,21724,524,10860,13434,509,8009,2442,6922,20691,6861,5333,14075,4186,4291,10516,14602,116
08-Feb,129652,23453,788,12184,15638,1487,7779,2414,7350,21178,6583,5503,14888,4315,4375,10591,14400,179
08-Mar,131757,23078,799,13289,15557,1594,8009,2890,8496,20685,6239,5459,15633,4120,4116,10844,13872,155
08-Apr,129859,20233,764,13642,15873,1365,7279,2343,9105,18104,6264,5688,16227,3756,3890,11858,13549,152
08-May,128170,19793,1016,12611,16590,1116,6952,2270,9575,17661,6217,5436,16910,3281,3616,11124,13648,147
08-Jun,147230,18922,1090,11542,20535,1099,7490,3076,9633,16733,11246,6074,16750,3163,7313,13813,17380,293
08-Jul,160595,22977,1437,13612,21378,1026,10774,3000,9718,20514,10769,6523,16646,4004,7853,15177,17832,332
08-Aug,157291,22389,1491,12971,21410,976,11043,2718,9728,19922,10377,6298,16069,3594,7697,15464,17214,319
08-Sep,157241,24918,1530,12619,21403,933,10628,2619,9520,22455,10125,5732,16186,3541,7170,15483,17000,297
08-Oct,155720,25262,1981,12407,21246,921,11323,2788,9449,22360,9383,5346,15662,3428,6844,15153,17140,289
08-Nov,162570,25866,2263,14292,21324,1492,12672,4008,9471,22111,10930,6565,15277,3236,6725,15054,16877,273
08-Dec,165599,26928,2486,13997,21379,1647,12384,3802,9569,22795,10581,6412,15918,4617,6530,16106,17107,269
09-Jan,162693,25531,2511,13882,21560,1605,12395,3715,9486,21415,10072,6291,16349,4579,6069,16189,16311,264
09-Feb,161972,25185,2460,13763,21380,2320,12669,3676,9668,20405,9940,6385,16926,4392,6221,15468,16043,256
09-Mar,165641,28600,2459,13828,20402,2101,12821,3360,9577,24040,9780,8087,18251,4264,5944,15985,14460,282
09-Apr,163856,29156,2295,14790,20691,2157,11384,3169,9084,24704,9746,7403,17939,4876,5843,14871,14479,425
09-May,151938,27344,2136,13602,19851,2016,8565,3012,7991,23192,9249,6821,17229,4643,6178,14929,12124,400
09-Jun,145585,25624,2085,12685,19257,1840,8209,3696,8032,21699,8987,6262,16063,4395,5789,14233,11988,365
09-Jul,140186,24010,2060,12253,18473,1702,7264,3428,7962,20248,8788,6245,16342,4206,5510,13943,11430,332
09-Aug,133779,23362,1960,11451,17920,1664,6799,3150,7769,19738,8577,6027,14595,3899,5376,13582,10948,324
09-Sep,126424,20962,1887,10436,17043,1541,6102,3300,7478,17534,7817,5568,14195,4194,5380,13311,10340,298
09-Oct,120437,19848,1778,9891,16467,1432,5751,2928,7488,16638,7530,5425,13656,3954,5067,12678,9427,327
09-Nov,122542,22865,1814,9287,16119,4578,4974,2776,8025,16473,7353,5351,14148,3743,6232,12525,8818,326
09-Dec,123297,25667,1803,9200,16009,4539,4678,3101,7106,19325,7157,5128,14277,3498,5690,12808,8698,280
10-Jan,119039,25826,1803,8279,15875,3591,4304,3042,7041,20432,5691,4918,13950,3327,5387,12915,8187,297
10-Feb,116438,27326,1813,7657,16053,3046,3889,2839,6930,22467,5416,4671,13188,3172,5238,12324,7474,261
10-Mar,112910,26099,1658,7595,16002,3033,3457,2768,6482,21408,5274,4581,12906,2852,5330,12100,7231,233
10-Apr,110409,25910,1575,7814,16467,2949,3775,2662,6362,21386,5108,3938,12973,2731,3736,11897,6815,221
10-May,110460,27647,1957,7272,16303,3341,3824,2508,6401,22349,5105,3736,12621,2569,3492,12195,6570,217
10-Jun,110020,28268,1979,6910,16389,4320,2822,2987,6392,21969,5009,5039,12513,2568,3397,11253,6282,191
10-Jul,106464,28151,1941,6747,16325,4344,2859,2880,6128,21866,4741,3887,12222,2419,3293,10627,6005,180
10-Aug,103981,28152,2085,6131,16066,3741,2474,2741,6085,22326,4556,3858,11593,2394,3142,10664,5950,175
10-Sep,100325,29201,2169,5223,14743,3847,2150,2639,5994,23185,4413,3793,10851,1893,2988,9830,6435,172
10-Oct,99033,29334,2506,6051,15304,4127,1899,2461,5841,22701,4163,3667,10285,1722,2848,9512,5791,155
10-Nov,94539,29189,2842,4136,14505,4100,2359,2357,5680,22247,3988,3572,9824,1488,2724,8777,5754,186
10-Dec,88706,29412,2729,3458,13163,4265,1809,2205,5575,22418,3837,3428,9020,1311,2504,8042,4780,162
11-Jan,84923,28896,2269,3064,12380,4474,1259,2068,5472,22153,3720,3282,8750,1144,2378,7693,4586,231
11-Feb,80588,27417,2216,2824,11929,4173,964,1847,5567,21028,3544,3154,8477,1015,2106,7278,4257,209
11-Mar,77572,27089,2104,2734,11325,3823,805,1651,5469,21162,3376,3016,8082,925,2040,6974,3871,215
11-Apr,72232,25008,1855,2305,10561,3438,717,1530,5354,19715,3252,2915,7620,843,1885,6397,3668,177
11-May,71360,27033,1785,2671,9916,3945,721,1272,5419,21303,3363,1943,7459,750,1792,5984,2896,141
11-Jun,72667,27225,1825,2682,11577,3821,655,1629,5200,21579,3214,1835,7229,687,1655,5885,3048,146
11-Jul,70087,26394,1826,3158,10828,3749,682,1189,5014,20819,3114,1685,6903,639,1800,5655,2896,130
11-Aug,68593,27634,1767,3046,10152,3730,458,997,4942,22137,2922,1515,6546,541,1728,5093,2729,290
11-Sep,68039,27283,1776,2842,9861,3783,619,913,4713,21724,2690,1350,6379,478,2191,4723,3748,249
11-Oct,66462,27101,1821,3008,9295,3724,806,854,4501,21556,2460,1195,5903,428,1847,4434,4454,176
11-Nov,67040,27269,1801,2887,9384,3873,770,1482,3780,21595,2207,1100,7391,386,1728,4274,4235,147
11-Dec,69807,27881,1861,4193,8672,3642,784,1557,3510,22378,2244,1031,7471,355,1527,4110,6375,97
12-Jan,67786,28961,1890,3909,7477,3532,865,1400,3363,23539,2318,1077,7159,354,1436,3508,5888,71
12-Feb,64850,27603,1703,3970,6807,3694,818,1301,3507,22206,2642,995,6746,285,1376,3228,5488,84
12-Mar,62949,26961,1732,4191,6104,3802,1142,1227,3144,21427,2567,982,6502,259,1285,3010,5518,57
12-Apr,61385,26115,1691,4063,5895,3829,940,1192,2916,20595,3034,833,6180,247,1063,3562,5297,48
12-May,62325,26595,1703,4014,5721,4002,1104,1179,3549,20890,2809,833,6065,249,1719,3361,4817,310
12-Jun,62288,26929,1698,4448,5564,4058,1108,1228,3047,21173,3086,786,6156,239,1486,3258,4663,290
12-Jul,67060,29392,3146,5630,5289,4212,1313,1197,3291,22034,3244,700,6035,341,1766,3503,5025,284
12-Aug,69511,29997,3847,5484,5202,4212,3051,1501,2975,21938,3184,631,5965,332,1875,3277,5730,265
12-Sep,71552,30038,3754,5393,4993,4420,3017,1561,3018,21864,3616,653,6187,537,1548,2640,7348,982
12-Oct,72739,32448,3700,5261,4678,4181,2792,1377,3071,24567,3769,628,4148,481,1850,3149,8243,841
12-Nov,76319,34385,3594,5199,3707,4059,3608,1484,3474,26732,4367,703,3608,401,1740,2728,9941,974
12-Dec,74835,32547,3481,5784,3288,4026,3348,1441,3659,25040,4421,585,2942,629,2478,3201,9558,954
13-Jan,75180,33784,3415,6985,2898,4637,3369,1404,3245,25732,4159,504,2691,443,2348,3096,9203,1051
13-Feb,73386,33674,3308,6568,2622,4478,3235,1300,3035,25888,4220,455,2563,868,2069,2647,8965,1063
13-Mar,70633,32759,3168,6896,2347,5080,1612,1303,2792,24511,3846,902,2697,1041,1993,2375,8353,996
13-Apr,70201,33267,3035,6131,2089,5068,1471,1399,2438,25164,4149,811,2555,1565,1946,2270,8703,983
13-May,66896,32769,2908,5485,1939,4920,1350,1253,2210,24941,3751,763,2351,1873,1920,2071,7617,925
13-Jun,65072,32501,2722,4956,1760,5223,1233,1187,1924,24556,3461,684,2961,1903,2271,2081,6992,744
13-Jul,67672,35326,2581,4575,1649,5281,1116,1163,1830,27464,3582,914,2565,1982,2183,1963,7401,684
13-Aug,68119,36903,3970,4848,1492,5130,1064,1066,1685,27803,3446,883,2321,1884,2087,1817,7829,614
13-Sep,66110,34671,4331,4954,1602,4840,913,981,2816,25500,3572,797,2346,1694,2021,1917,7202,581
13-Oct,64433,36542,3808,4385,1359,4335,817,876,2499,28399,3283,725,2007,1595,1829,1590,6396,516
13-Nov,63709,34203,3568,5350,1196,4222,377,989,2895,26413,3156,685,3265,1511,2065,1542,5840,477
13-Dec,61091,33192,3157,4259,1234,5275,323,1146,3310,24760,3055,599,3566,1470,1981,1405,4909,588
14-Jan,58576,32697,2905,4131,955,7267,340,867,2943,22525,2936,670,3204,1383,1921,1167,4801,557
14-Feb,52391,29278,2734,3433,615,6891,206,740,2559,19653,3049,633,2741,1319,1851,1043,4380,540
