Day,한국,일본
Jan-80,34.14,106.44
Feb-80,38.85,108.39
Mar-80,40.29,110.05
Apr-80,40.82,113.47
May-80,41.57,114.44
Jun-80,41.62,114.83
Jul-80,41.9,115.22
Aug-80,42.83,115.81
Sep-80,43.53,116.01
Oct-80,44.12,115.32
Nov-80,44.78,115.22
Dec-80,46.49,115.22
Jan-81,47.17,114.93
Feb-81,47.53,114.44
Mar-81,48,114.25
Apr-81,49.21,114.35
May-81,50.63,114.74
Jun-81,51.13,114.64
Jul-81,51.26,114.83
Aug-81,51.56,115.22
Sep-81,51.83,115.52
Oct-81,51.79,115.22
Nov-81,51.21,115.42
Dec-81,51.79,115.52
Jan-82,52.13,115.32
Feb-82,52.51,115.32
Mar-82,52.38,115.32
Apr-82,52.42,115.42
May-82,52.56,115.22
Jun-82,52.51,115.03
Jul-82,52.73,115.22
Aug-82,52.64,115.62
Sep-82,52.83,116.01
Oct-82,52.79,115.52
Nov-82,52.79,115.62
Dec-82,53.01,115.52
Jan-83,53.23,115.32
Feb-83,53.13,115.32
Mar-83,52.97,115.22
Apr-83,52.92,114.44
May-83,52.64,114.64
Jun-83,52.47,114.64
Jul-83,52.38,114.83
Aug-83,52.47,114.35
Sep-83,52.64,114.54
Oct-83,52.47,114.35
Nov-83,52.47,114.44
Dec-83,52.6,114.64
Jan-84,52.64,114.64
Feb-84,52.76,114.83
Mar-84,52.79,114.83
Apr-84,53.09,114.74
May-84,52.88,114.83
Jun-84,52.68,114.74
Jul-84,52.83,114.93
Aug-84,53.27,115.03
Sep-84,53.88,115.13
Oct-84,53.47,114.74
Nov-84,53.27,114.74
Dec-84,53.42,114.74
Jan-85,53.56,115.32
Feb-85,53.5,115.32
Mar-85,53.29,115.03
Apr-85,53.56,114.83
May-85,53.5,114.35
Jun-85,53.5,113.96
Jul-85,53.56,113.96
Aug-85,53.56,113.76
Sep-85,53.72,113.47
Oct-85,53.77,112.69
Nov-85,53.45,112.3
Dec-85,53.72,112.1
Jan-86,53.82,111.9
Feb-86,53.45,111.22
Mar-86,52.97,110.93
Apr-86,52.7,109.95
May-86,52.76,109.66
Jun-86,52.6,108.78
Jul-86,52.65,108.39
Aug-86,52.65,107.8
Sep-86,52.79,107.02
Oct-86,52.32,105.95
Nov-86,52.27,105.75
Dec-86,52.32,105.66
Jan-87,52.37,105.07
Feb-87,52.48,104.78
Mar-87,52.65,104.87
Apr-87,53.06,104.68
May-87,53.29,104.58
Jun-87,52.85,104.68
Jul-87,52.85,105.17
Aug-87,53.12,105.56
Sep-87,53.39,105.85
Oct-87,53.29,105.75
Nov-87,53.06,105.75
Dec-87,53.72,105.66
Jan-88,54.04,104.87
Feb-88,54.35,104.68
Mar-88,54.25,104.68
Apr-88,54.08,104.48
May-88,54.31,104.39
Jun-88,54.35,104.48
Jul-88,54.58,104.68
Aug-88,54.84,104.68
