Day,한국,일본
Jan-80,21.27,74.18
Feb-80,22.19,74.8
Mar-80,23.01,75.21
Apr-80,23.18,76.56
May-80,23.91,77.18
Jun-80,24.2,77.6
Jul-80,24.4,77.6
Aug-80,24.81,77.39
Sep-80,25.27,78.74
Oct-80,25.97,78.84
Nov-80,26.12,79.05
Dec-80,26.95,78.74
Jan-81,27.38,79.56
Feb-81,27.6,79.46
Mar-81,28.14,79.77
Apr-81,28.38,80.39
May-81,29.01,81.12
Jun-81,29.81,81.22
Jul-81,30.1,81.02
Aug-81,30.42,80.6
Sep-81,30.81,81.84
Oct-81,30.73,82.15
Nov-81,30.47,82.05
Dec-81,30.63,82.15
Jan-82,30.78,82.15
Feb-82,30.93,82.05
Mar-82,31.22,82.15
Apr-82,31.27,82.78
May-82,31.51,83.09
Jun-82,31.7,83.09
Jul-82,31.78,82.57
Aug-82,31.87,83.19
Sep-82,32.02,84.43
Oct-82,31.95,84.74
Nov-82,31.75,83.92
Dec-82,32.12,83.81
Jan-83,32.36,83.92
Feb-83,32.58,83.61
Mar-83,32.7,84.12
Apr-83,32.6,84.43
May-83,32.7,85.37
Jun-83,32.67,84.85
Jul-83,32.67,84.43
Aug-83,32.7,84.23
Sep-83,32.75,85.26
Oct-83,32.72,85.99
Nov-83,32.65,85.47
Dec-83,32.75,85.26
Jan-84,32.94,85.47
Feb-84,33.23,85.99
Mar-84,33.35,86.2
Apr-84,33.45,86.4
May-84,33.4,87.02
Jun-84,33.23,86.4
Jul-84,33.23,86.61
Aug-84,33.4,85.88
Sep-84,33.79,87.23
Oct-84,33.62,87.85
Nov-84,33.55,87.33
Dec-84,33.55,87.54
Jan-85,33.64,87.85
Feb-85,33.88,87.44
Mar-85,33.91,87.85
Apr-85,33.94,88.37
May-85,34.18,88.47
Jun-85,34.22,88.47
Jul-85,34.22,88.68
Aug-85,34.29,88.47
Sep-85,34.66,88.58
Oct-85,34.77,89.41
Nov-85,34.36,88.68
Dec-85,34.56,88.79
Jan-86,34.87,89.1
Feb-86,35.07,88.99
Mar-86,35.14,88.99
Apr-86,35.11,89.2
May-86,35.31,89.51
Jun-86,35.24,88.99
Jul-86,35.28,88.79
Aug-86,35.24,88.58
Sep-86,35.45,88.99
Oct-86,35.11,89.1
Nov-86,35.04,88.68
Dec-86,35.04,88.47
Jan-87,35.18,88.16
Feb-87,35.24,88.16
Mar-87,35.52,88.47
Apr-87,35.72,89.3
May-87,36.27,89.51
Jun-87,36.24,89.3
Jul-87,36.13,88.89
Aug-87,36.65,88.99
Sep-87,36.89,89.72
Oct-87,36.92,89.72
Nov-87,36.85,89.3
Dec-87,37.16,89.2
Jan-88,37.37,88.99
