Day,물가 총지수,식료품 및 비주류 음료,주류 및 담배,주택 임차료,가정용품 및 가사 서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
06-Jan,79.306,70.45,62.611,79.137,78.68,88.031,86.824,110.053,95.933,76.187,78.522,72.176
06-Feb,79.464,70.17,62.548,79.216,78.68,88.117,87.076,110.053,95.739,76.792,78.601,72.317
06-Mar,79.934,70.24,62.548,79.216,78.68,88.117,87.16,110.053,95.642,79.513,78.989,73.025
06-Apr,80.013,70.03,62.548,79.295,78.759,88.117,87.833,110.053,95.545,79.664,78.989,74.016
06-May,80.169,69.401,62.485,79.374,78.997,88.117,88.59,110.053,95.351,79.739,79.067,75.29
06-Jun,80.013,68.772,62.485,79.374,79.473,88.204,88.675,109.83,94.093,79.815,79.223,74.511
06-Jul,80.326,69.192,62.485,79.454,79.393,88.289,89.347,109.83,94.19,79.815,79.455,75.006
06-Aug,80.797,71.848,62.485,79.533,80.029,88.376,89.6,109.386,93.803,79.815,79.455,75.36
06-Sep,81.032,72.547,62.611,79.612,80.186,88.463,89.179,109.386,93.609,79.815,79.534,75.29
06-Oct,80.64,71.008,62.611,79.85,80.107,88.463,87.665,109.164,93.319,79.815,79.611,75.148
06-Nov,80.248,69.122,62.611,80.008,80.345,88.376,87.16,108.831,93.222,79.891,79.689,75.502
06-Dec,80.483,70.17,62.611,80.166,80.425,88.549,87.244,108.831,93.416,79.891,79.922,75.644
07-Jan,80.64,70.52,62.548,80.325,80.742,89.502,87.328,108.053,93.416,80.269,80.077,75.644
07-Feb,81.189,72.127,62.548,80.483,80.821,89.675,87.328,107.498,94.093,81.1,80.155,76.492
07-Mar,81.66,71.498,62.611,80.562,81.059,89.675,88.338,107.387,93.609,84.35,80.544,77.695
07-Apr,81.973,71.707,62.611,80.721,81.218,89.848,90.609,107.387,93.222,84.501,80.622,77.837
07-May,82.052,71.219,62.674,80.8,81.138,89.848,91.367,107.276,92.738,84.577,80.699,77.837
07-Jun,82.052,70.799,62.862,80.879,81.218,89.848,91.703,107.165,92.544,84.577,80.777,77.908
