Day,전국,수도권,지방,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
06-Jan,62,65.4,59.1,60.7,49.7,62.5,62.4,54.2,76.1,48.9,69.2,61.2,65.2,75.4,57,51,66.3,63,38.7
06-Feb,62.7,66.6,59.2,61.7,49.5,62.6,62.8,53.9,75.6,49,70.5,61.8,66.4,76.2,57.3,50.7,66.3,62.9,37.6
06-Mar,63.3,67.7,59.2,63.2,49.1,62.4,63.2,53.8,74.9,49.8,71.4,59.9,66.9,77,58,51.1,66.4,63.2,35.8
06-Apr,63.8,68.4,59.2,64.1,48.6,62.3,63.7,53.7,74.3,50.4,72.2,60.8,67.7,77,58.3,51.5,66.2,62.8,36
06-May,64.1,69,59.1,64.2,48.2,61.9,64.1,53,73.8,51.6,73.2,61.8,67.3,75,58.4,52.7,66.2,62.7,36.5
06-Jun,64.7,69.4,59.9,64.4,48.4,61.6,64.8,54,73.7,52.9,73.7,62.6,67.9,76.9,60,53.8,68.7,62.9,37.3
06-Jul,65,70,59.9,64.9,48.7,61,65,54,73.4,53.6,74.4,61.6,67.4,77.1,60,53.9,68.7,62.7,38.5
06-Aug,66,71.3,60.5,66.1,48.6,61.3,65.8,54.4,73.4,54.7,75.9,62,68,76.9,60.4,54.7,70.2,64.1,38.9
06-Sep,67.2,72.9,60.8,67.3,48.5,61.4,66.4,54.2,73.7,57.2,77.9,62.4,68,77.2,60.7,55,70.9,64.2,38.4
06-Oct,69.7,76.8,61.1,70.3,48.5,61.3,68,54.4,73.6,58.9,82.8,61.8,68,76.6,61.5,55.2,71.3,64.5,38.7
06-Nov,72.5,80.9,61.5,73.1,48.8,61.4,71.1,54,74.1,60.7,88.1,61.3,68.1,76.5,62,56,71.6,65.4,38.3
06-Dec,73.1,82.1,61.3,73.8,48.4,60.8,73.9,53.8,73.9,62.1,89.4,60.5,68.2,75.6,62.1,56.1,71.5,64.7,39.1
07-Jan,74.6,84.2,62.4,75.6,49,61.2,76.5,54.4,74.2,65,91.6,61.3,68.8,77.2,63.3,57.2,73.6,66.6,39.2
07-Feb,74.6,84.2,62.6,75.5,49,61,77,54.9,73.9,65.8,91.4,61.4,68.7,77,63.7,57.3,73.9,67.2,38.5
07-Mar,74.9,84.8,62.9,76.3,49.4,61.4,78.3,54.9,73.6,67.6,91.9,61.3,68.7,77.7,63.7,57.2,74.4,66.9,39.7
07-Apr,74.6,84.4,62.8,75.7,49.4,60.7,79.1,54.3,72.8,67.8,91.4,61.8,69.3,78,63.2,58.4,75.1,66.6,38.8
07-May,74,83.8,62.5,74.7,49.3,59.9,80.2,54.3,72.6,65.9,90.5,61.8,68.9,77.2,63.6,58,74.8,66.6,39.5
07-Jun,74.6,84.9,62.5,76.3,49.5,59.6,81.2,54.2,72.9,65.9,91.4,61.4,68.1,77.7,64,58.8,74.4,66.9,39.6
07-Jul,75.1,85.7,62.6,76.9,49.8,59.8,82.3,54.4,72.3,66.3,92.2,61.6,68.2,78.4,64.2,59.4,73.8,66.9,39.3
07-Aug,75.6,86.6,62.7,77.4,49.9,59.7,83.9,54.3,72.9,66.5,93.2,61.3,68.1,78.4,64,59.3,74.4,67.1,39.5
07-Sep,76,87,63.1,77.6,50.2,59.6,85.3,54.8,72.9,66.8,93.5,61.9,68.8,79.2,64.3,59.5,74.5,67.9,41.2
07-Oct,76.2,87.6,63.1,78,50.4,59.7,86.9,54.4,73.4,66.5,93.8,61.7,68.6,79.3,64.4,60.4,73.7,68.2,41.1
07-Nov,76.1,87.5,63.1,77.8,50.3,59.2,88.1,54.4,72.9,65.8,93.6,61.1,68.6,79.3,64.9,61.7,73.7,68.7,40.5
07-Dec,76.1,87.7,63,78,50.2,59.3,88.2,54.3,73.1,65.6,93.7,61.1,68.8,79.1,65.3,62.3,72.7,68.4,40.7
08-Jan,76.7,88.5,63.5,78.9,50.6,59.7,89.6,54.7,73.7,66.1,94.3,61.4,69.3,79.4,65.7,63.5,73.8,68.9,41
08-Feb,77.3,89.3,63.8,80.1,50.9,59.5,90.2,54.9,73.7,66,95,61.8,69.9,80.2,66,64.9,74.3,69.3,40.7
08-Mar,78.2,90.9,64.1,82,51.2,59.8,92.5,55.3,73.6,66.5,96,62,70.2,80.1,66.8,65.4,74.7,69.3,41.9
08-Apr,79.2,92.5,64.4,83.8,51.8,59.7,95.2,55.3,74,66.6,97.2,61.9,70,80.1,67.8,66.5,74.6,69.6,41.9
08-May,79.9,93.6,64.6,84.5,52,59.4,97.1,55.5,73.7,66.3,98.4,62.8,70.4,80.5,68.1,68.3,74.1,69.9,42.4
08-Jun,80.4,94.6,64.8,84.9,52.2,59.1,99.9,55.2,74.3,66.1,99.2,63.8,71,81.9,68.9,68.1,74.3,70.1,41.8
08-Jul,80.5,94.5,65.1,84,52.5,59,101.6,55.4,74.2,65.8,99.1,64.6,71.3,82.9,70.2,67.7,74.4,70.7,41.7
08-Aug,80.5,94.6,65.3,84.1,52.6,58.6,103.4,55.9,74.4,65.4,98.5,64.9,70.9,83.9,70.6,69,74.7,70.7,40.9
08-Sep,79.7,93.4,65.2,82.4,52.8,58.5,103.3,55.6,74.5,65.1,97.5,64.8,71.1,84.6,70,69,74.3,71,41.5
08-Oct,77.9,90,65.3,78.8,52.8,57.9,100.7,55.3,74.1,64.4,93.9,63.8,71.3,84.2,73.1,68.8,74.1,71.2,40.9
08-Nov,75.3,85.9,64.6,74.3,52.3,57,97.1,55.2,72.9,63.5,90,63.5,70.6,83.1,70.3,68.5,73.9,70.9,41.2
08-Dec,72.6,81.5,63.7,70.2,51.7,55.8,92.9,54.3,72.8,63.1,85.3,61.8,69.4,82.5,70.4,67,72,70,42.9
09-Jan,73,82.5,63.6,73.1,51.8,55.2,93.1,53.8,72.3,62,85.4,62.6,70,82.4,69.8,67.2,71.9,69.8,42.5
09-Feb,74.2,84.6,63.9,75.9,52.3,55.5,93.4,54.4,72.8,62.4,87.5,62.4,69.9,81.9,70.4,68.2,72.6,70.2,42.7
09-Mar,74.6,85.3,64.1,76.6,52.7,55.2,94.1,54.2,72.9,62.3,88.2,63.2,69.7,82.9,70.9,68.1,72.6,70.3,42
09-Apr,75.7,87.3,64.2,79.1,52.8,55.8,95.4,53.9,73.6,63.1,90.2,62.8,69.6,82.1,71.4,68.2,72.7,70.6,42.8
09-May,76.8,89,64.6,80.4,53.2,56.1,96.8,54.1,74.3,63.9,92.3,63.2,70,82.2,71.8,67.8,72.7,71.2,41.9
09-Jun,77.6,90.4,64.8,82,53.5,56.2,97.8,54,75.1,64.5,93.6,63.6,70.3,82,71.4,69.1,72.9,71.2,42.8
09-Jul,78.4,91.7,65.2,83.7,53.8,56.6,99.2,54.4,75.8,65.3,94.7,63.2,70.6,82.1,72.8,69.7,73.1,71.6,43.7
09-Aug,79.5,93.3,65.8,85.5,54.7,57.2,100.1,54.6,76.6,66.1,96.3,63.6,71.2,83.2,73.2,70.2,73.1,72.2,44
09-Sep,80.2,94.2,66.5,86.4,55.5,57.9,101.2,54.9,77.8,67.2,97.2,64.4,71.7,83.2,73.8,71,74.2,72.8,44.6
09-Oct,80,93.5,67,85.8,56.1,58.1,100.7,54.8,78.9,67.8,96.3,64.3,72.2,83.4,74.5,71.6,74.5,73.3,45.4
09-Nov,79.4,92.4,67.1,84.6,56.6,57.7,99.5,54.7,79.1,67.6,95.3,64.4,72.1,83,75,72.3,74.3,73.5,45.5
09-Dec,79,91.5,67.2,84.3,56.9,57.8,98.3,55.1,79.4,67.6,94.1,64.7,72.5,82.7,75,71.9,75.1,73.5,45.3
10-Jan,79.8,92.5,67.9,85.6,57.8,58,100,55.4,80.5,68,94.8,65.3,72.7,83.6,76.1,72.7,74.9,74.4,46.6
10-Feb,79.7,92.2,68.1,85.3,58.3,57.8,98.9,55.5,80.9,68.1,94.6,65.3,72.9,83.8,77.1,72.8,75,74.5,46.7
10-Mar,79.6,91.5,68.7,84.8,59.3,57.8,99,55.6,81.4,68.4,93.7,66,73.5,84,78,73.8,75.2,75.3,47.3
10-Apr,78.8,89.9,68.9,83.1,59.7,57.4,97.6,55.6,82.1,67.9,92,65.9,74,83.8,78.6,74.3,74.6,75.6,47.9
10-May,78.3,88.6,69.2,81.7,60.3,57.6,96,55.9,81.6,68,90.8,66.4,74.1,84,79,74.7,74.6,76.4,48.7
10-Jun,77.9,87.6,69.3,80.8,60.9,57.3,95.6,55.8,81.8,67.7,89.7,65.7,74,83.4,79.5,74.6,74.6,77,49.5
10-Jul,77.6,86.7,69.7,80.1,61,57.2,95,56.3,82.4,67.3,88.6,65.9,74.6,83.4,80.3,75.7,74.5,77.9,49.4
10-Aug,77.5,86.1,70,79.6,61.8,57.3,94,56.3,83,67.3,88.1,65.6,75.1,83.6,80.6,76,74.7,78.4,50.8
10-Sep,78.1,86.8,70.6,80.4,62.7,57.5,94.6,56.4,83.7,68.1,88.7,66.2,75.4,84,80.8,76.8,75,79.9,49.7
10-Oct,78.6,87,71.4,80.5,63.7,57.6,94.3,57.1,84.2,68.8,89,66.6,76,84.6,82.8,77,75.9,80.7,51
10-Nov,79.1,87.4,72,81.2,64.6,58.1,94.3,57.6,85.8,68.9,89.5,66.5,76.7,84.8,82.8,77.9,75.6,81.9,51.2
10-Dec,79.9,88.1,72.8,82.2,65.8,58.3,94.5,58.5,87.3,69.6,90.2,66.5,76.7,84.8,84.1,79.1,75.7,83.7,51.2
11-Jan,81.3,89.3,74.4,83.5,67.6,59.1,94.8,59.8,89.7,70.7,91.5,67.5,78.9,85.9,85.3,80.8,76.4,86.2,52
11-Feb,82.5,90.1,76,84,69.8,60.3,95.2,62,91.5,71.2,92.7,68.8,80,86.8,86.5,81.6,77.4,89,50
11-Mar,83.4,90,77.8,83.8,72.1,61,95,64.5,92.4,72.8,92.7,69.7,81.6,87.3,88.6,83.2,78.3,92.5,53.6
11-Apr,83.9,89.5,79.2,83.2,74.1,61.7,94.4,65.9,93.1,74.3,92.2,70.4,82.7,88.2,90.7,84.5,79.1,94.4,54.1
11-May,84.1,89,80,82.6,75,62,93.1,67,94.5,75.8,91.9,71.2,83.2,89.4,91.7,86.5,79.4,95.1,51.8
11-Jun,84.4,88.5,80.8,82.1,76,62.5,92.4,67.3,96.5,76.4,91.6,72.2,84.9,89.2,93.1,85.7,80.1,95.9,55
11-Jul,84.8,88.5,81.7,82.2,76.8,63.1,92.2,67.7,98.4,77.8,91.5,73.6,86.2,90,93.5,86.5,81.2,97,55.7
11-Aug,85.4,88.6,82.6,82.4,77.4,63.8,91.8,68.6,98.6,78.3,91.7,76.2,87.4,91.2,95.4,87.2,81.6,97.8,55.9
11-Sep,86,88.5,83.8,82.2,78.7,64.5,91.5,69.2,99.7,80.1,91.7,77.5,88.7,91.8,98.2,88.6,82.4,98.9,56.7
11-Oct,85.9,88,84.1,81.6,78.4,65.1,90.7,69.9,99.7,81.2,91.4,77.8,90.1,92.8,98.6,88.9,83.1,98.6,57.1
11-Nov,85.4,87.1,83.9,80.9,78.2,65.2,89.9,69.4,98.4,81.5,90.3,76.7,90.3,92.9,98.2,88.9,83.5,98.6,57.7
11-Dec,84.7,86.3,83.2,80,77.3,65,89,68.7,97.2,81.8,89.6,76.4,90,92.5,97.5,88.1,83.4,96.7,56.5
12-Jan,85.4,86.2,84.6,80,78.3,65.8,88.7,69.9,98,83,89.5,78.4,92.2,93.4,100.3,90,84.5,98.4,57.5
12-Feb,85.5,86,85,79.8,78.5,66.4,88.5,71,97.7,84.4,89.3,78.7,92.8,94.2,100.8,89.2,85,98.7,57.3
12-Mar,85.3,85.4,85,79.2,78.4,66.6,88.2,70.9,96.8,84.8,88.6,78.7,93.5,94.8,99.8,90.5,85.7,98.4,60
12-Apr,84.9,84.6,84.9,78.5,78.1,66.5,87.6,71,95.6,85.8,87.7,78.6,94,94.7,99.7,91,86.1,98.1,57.6
12-May,84.9,84.2,85,78.3,77.8,66.9,87.1,71.7,94.8,86.3,87.3,78.5,94,95.7,99.1,91.5,87,98,59.3
12-Jun,84.4,83.5,84.7,77.5,77.6,67.1,86.3,71.5,94.1,86.9,86.7,78.3,93.4,95.4,99.3,90.2,86.9,97,57.1
12-Jul,83.8,82.5,84.5,76.6,76.6,67.2,85.3,71.3,94.2,86.4,85.6,78.1,94,95.8,98.1,90.6,87.8,96.7,57.2
