Day,KOSPI지수,KOSDAQ지수
2003-01-02,635.17 ,466.00 
2003-01-03,661.10 ,483.40 
2003-01-06,666.71 ,487.30 
2003-01-07,652.20 ,476.80 
2003-01-08,651.72 ,481.60 
2003-01-09,630.40 ,480.60 
2003-01-10,628.36 ,470.00 
2003-01-13,648.06 ,485.50 
2003-01-14,650.05 ,488.50 
2003-01-15,648.29 ,488.10 
2003-01-16,648.69 ,485.50 
2003-01-17,636.46 ,478.50 
2003-01-20,634.50 ,473.30 
2003-01-21,632.86 ,467.50 
2003-01-22,622.49 ,455.50 
2003-01-23,625.18 ,457.80 
2003-01-24,609.43 ,442.60 
2003-01-27,593.09 ,434.00 
2003-01-28,600.56 ,437.50 
2003-01-29,583.35 ,425.20 
2003-01-30,591.86 ,433.90 
2003-02-03,600.41 ,441.00 
2003-02-04,603.78 ,443.20 
2003-02-05,600.68 ,441.00 
2003-02-06,589.50 ,435.40 
2003-02-07,577.48 ,427.70 
2003-02-10,577.25 ,422.60 
2003-02-11,575.98 ,421.50 
2003-02-12,583.29 ,424.30 
2003-02-13,575.67 ,422.20 
2003-02-14,575.24 ,423.80 
2003-02-17,601.87 ,441.20 
2003-02-18,603.45 ,439.20 
2003-02-19,600.83 ,436.60 
2003-02-20,605.51 ,437.90 
2003-02-21,603.60 ,435.00 
2003-02-24,616.29 ,438.80 
2003-02-25,592.25 ,424.30 
2003-02-26,590.26 ,425.80 
2003-02-27,582.46 ,428.20 
2003-02-28,575.43 ,417.80 
2003-03-03,590.04 ,420.60 
2003-03-04,576.58 ,409.80 
2003-03-05,560.26 ,393.60 
2003-03-06,555.33 ,381.90 
2003-03-07,546.02 ,366.90 
2003-03-10,544.24 ,362.00 
2003-03-11,532.53 ,354.30 
2003-03-12,531.81 ,368.30 
2003-03-13,531.78 ,360.70 
2003-03-14,537.65 ,370.10 
2003-03-17,515.24 ,346.40 
2003-03-18,537.31 ,365.00 
2003-03-19,541.78 ,367.70 
2003-03-20,568.46 ,391.40 
2003-03-21,575.77 ,401.00 
2003-03-24,569.85 ,395.40 
2003-03-25,554.98 ,379.70 
2003-03-26,554.79 ,386.30 
2003-03-27,549.26 ,384.90 
2003-03-28,556.33 ,392.80 
2003-03-31,535.70 ,377.70 
2003-04-01,538.56 ,382.50 
2003-04-02,542.92 ,387.70 
