Day,총지수,단독주택,연립주택,아파트
06-Jan,67.559,77.884,66.004,64.872
06-Feb,67.865,77.957,66.205,65.276
06-Mar,68.3,78.176,66.555,65.808
06-Apr,68.904,78.563,67.06,66.508
06-May,69.608,79.037,67.582,67.335
06-Jun,69.94,79.233,68.069,67.682
06-Jul,70.09,79.373,68.331,67.81
06-Aug,70.26,79.491,68.735,67.95
06-Sep,70.599,79.698,69.49,68.25
06-Oct,71.549,80.219,70.742,69.288
06-Nov,73.77,81.132,73.054,71.946
06-Dec,75.145,81.803,74.983,73.457
07-Jan,75.802,82.11,75.823,74.199
07-Feb,76.077,82.322,76.495,74.421
07-Mar,76.217,82.481,76.919,74.489
07-Apr,76.316,82.634,77.417,74.485
07-May,76.342,82.744,77.813,74.406
07-Jun,76.445,82.906,78.203,74.431
07-Jul,76.644,83.114,78.746,74.554
07-Aug,76.789,83.239,79.118,74.655
07-Sep,76.991,83.452,79.733,74.767
07-Oct,77.188,83.674,80.269,74.886
07-Nov,77.398,83.963,80.78,75.002
07-Dec,77.507,84.104,81.218,75.032
08-Jan,77.72,84.268,81.842,75.161
08-Feb,77.958,84.466,82.432,75.331
08-Mar,78.553,84.916,83.724,75.793
08-Apr,79.24,85.287,84.593,76.529
08-May,79.721,85.569,85.507,76.975
08-Jun,80.204,85.941,86.469,77.395
08-Jul,80.517,86.129,87.243,77.639
08-Aug,80.677,86.209,87.818,77.732
08-Sep,80.863,86.332,88.179,77.897
08-Oct,80.82,86.3,88.281,77.844
08-Nov,80.496,86.134,88.152,77.431
08-Dec,79.914,85.797,87.614,76.758
09-Jan,79.471,85.59,87.168,76.244
09-Feb,79.272,85.51,86.949,76.013
09-Mar,79.134,85.466,86.867,75.832
09-Apr,79.181,85.532,86.915,75.868
09-May,79.266,85.542,87.001,75.976
09-Jun,79.42,85.611,87.159,76.149
09-Jul,79.636,85.708,87.345,76.406
09-Aug,79.888,85.876,87.743,76.649
09-Sep,80.46,86.195,88.49,77.265
09-Oct,80.765,86.43,88.89,77.58
09-Nov,80.97,86.518,89.068,77.835
09-Dec,81.085,86.569,89.194,77.973
10-Jan,81.189,86.648,89.292,78.087
10-Feb,81.426,86.731,89.445,78.387
10-Mar,81.627,86.836,89.654,78.621
10-Apr,81.785,86.953,89.852,78.781
10-May,81.823,86.992,89.844,78.826
10-Jun,81.832,87.046,89.94,78.793
10-Jul,81.755,87.058,89.729,78.714
10-Aug,81.714,86.998,89.641,78.688
10-Sep,81.793,87.011,89.622,78.812
10-Oct,81.963,87.072,89.741,79.031
10-Nov,82.278,87.176,89.882,79.461
10-Dec,82.616,87.244,90.017,79.943
11-Jan,83.003,87.388,90.209,80.456
11-Feb,83.667,87.587,90.618,81.34
11-Mar,84.482,87.939,91.076,82.405
11-Apr,85.178,88.107,91.311,83.396
11-May,85.77,88.223,91.479,84.254
11-Jun,86.192,88.37,91.674,84.817
11-Jul,86.544,88.539,91.792,85.29
11-Aug,86.971,88.682,92.008,85.893
11-Sep,87.445,88.987,92.255,86.487
11-Oct,87.793,89.194,92.396,86.94
11-Nov,88.14,89.357,92.492,87.426
11-Dec,88.287,89.459,92.547,87.618
12-Jan,88.425,89.553,92.626,87.785
12-Feb,88.573,89.706,92.682,87.953
12-Mar,88.707,89.799,92.752,88.122
12-Apr,88.802,89.904,92.735,88.247
12-May,88.845,90.024,92.774,88.272
12-Jun,88.814,90.072,92.751,88.22
12-Jul,88.713,90.109,92.608,88.09
12-Aug,88.624,90.116,92.59,87.956
12-Sep,88.49,90.145,92.491,87.768
12-Oct,88.391,90.207,92.451,87.614
12-Nov,88.323,90.222,92.374,87.531
12-Dec,88.262,90.216,92.307,87.457
13-Jan,88.214,90.245,92.299,87.38
13-Feb,88.162,90.27,92.278,87.31
13-Mar,88.122,90.297,92.209,87.264
13-Apr,88.124,90.358,92.195,87.253
13-May,88.112,90.392,92.156,87.233
13-Jun,88.077,90.424,92.085,87.181
13-Jul,88.074,90.509,92.042,87.158
13-Aug,88.04,90.555,92.01,87.099
13-Sep,88.086,90.613,92.054,87.136
13-Oct,88.265,90.75,92.149,87.339
13-Nov,88.419,90.83,92.171,87.54
13-Dec,88.588,90.945,92.222,87.748
14-Jan,88.689,91.061,92.258,87.857
14-Feb,88.834,91.174,92.338,88.023
14-Mar,89.083,91.321,92.431,88.333
14-Apr,89.267,91.444,92.494,88.557
14-May,89.327,91.53,92.531,88.613
14-Jun,89.389,91.632,92.568,88.664
14-Jul,89.471,91.742,92.595,88.745
14-Aug,89.591,91.872,92.659,88.869
14-Sep,89.836,92.068,92.769,89.153
14-Oct,90.101,92.226,92.903,89.472
14-Nov,90.284,92.368,92.991,89.684
14-Dec,90.45,92.483,93.054,89.884
15-Jan,90.57,92.588,93.096,90.021
15-Feb,90.777,92.719,93.236,90.26
15-Mar,91.151,93.039,93.508,90.67
15-Apr,91.602,93.341,93.862,91.182
15-May,91.942,93.559,94.036,91.593
15-Jun,92.365,93.893,94.315,92.069
15-Jul,92.757,94.247,94.653,92.479
15-Aug,93.12,94.523,94.834,92.9
15-Sep,93.557,94.765,95.023,93.441
15-Oct,93.875,95.034,95.297,93.776
15-Nov,94.275,95.354,95.493,94.24
15-Dec,94.447,95.524,95.586,94.428
16-Jan,94.525,95.624,95.651,94.505
16-Feb,94.593,95.722,95.658,94.581
16-Mar,94.626,95.771,95.749,94.595
16-Apr,94.665,95.832,95.803,94.624
16-May,94.727,95.872,95.845,94.69
16-Jun,94.813,95.936,95.93,94.776
16-Jul,94.936,95.997,96.024,94.908
16-Aug,95.056,96.046,96.097,95.042
16-Sep,95.186,96.12,96.192,95.186
16-Oct,95.416,96.222,96.312,95.462
16-Nov,95.656,96.292,96.428,95.764
16-Dec,95.727,96.337,96.467,95.843
17-Jan,95.748,96.342,96.484,95.862
17-Feb,95.759,96.355,96.508,95.866
17-Mar,95.784,96.391,96.537,95.883
17-Apr,95.82,96.424,96.569,95.916
17-May,95.87,96.451,96.615,95.962
17-Jun,96.037,96.482,96.67,96.177
17-Jul,96.262,96.555,96.875,96.427
17-Aug,96.491,96.638,96.974,96.702
17-Sep,96.572,96.79,97.039,96.757
17-Oct,96.681,96.917,97.137,96.854
17-Nov,96.814,97.047,97.23,96.98
17-Dec,96.913,97.083,97.272,97.097
18-Jan,97.094,97.139,97.41,97.299
18-Feb,97.304,97.332,97.618,97.497
18-Mar,97.547,97.459,97.804,97.764
18-Apr,97.711,97.671,97.967,97.897
18-May,97.81,97.916,98.054,97.948
18-Jun,97.904,98.116,98.148,98.003
18-Jul,98.018,98.369,98.401,98.022
18-Aug,98.227,98.493,98.521,98.249
18-Sep,99.193,99.093,99.15,99.316
18-Oct,99.75,99.419,99.521,99.926
18-Nov,99.902,99.637,99.739,100.03
18-Dec,99.98,99.908,99.881,100.028
19-Jan,100,100,100,100
19-Feb,99.934,100.076,99.964,99.886
19-Mar,99.829,100.174,99.946,99.693
19-Apr,99.691,100.233,99.942,99.453
19-May,99.625,100.323,99.973,99.315
19-Jun,99.538,100.461,100.05,99.118
19-Jul,99.531,100.617,100.116,99.03
19-Aug,99.586,100.753,100.3,99.014
19-Sep,99.64,100.76,100.424,99.041
19-Oct,99.733,100.766,100.473,99.152
19-Nov,99.874,100.869,100.567,99.297
19-Dec,100.222,101.002,100.718,99.726
20-Jan,100.576,101.249,100.991,100.103
20-Feb,100.948,101.366,101.197,100.559
20-Mar,101.511,101.53,101.395,101.295
20-Apr,101.744,101.702,101.575,101.548
20-May,101.884,101.888,101.743,101.658
20-Jun,102.377,102.263,102.252,102.149
20-Jul,103.278,102.473,102.776,103.284
