Day,한국,일본,미국
Jan-80,,6.25,13.4
Feb-80,,7.25,16.33
Mar-80,,9,19.85
Apr-80,,9,14.64
May-80,,9,11.06
Jun-80,,9,10.44
Jul-80,,9,9.93
Aug-80,,8.25,10.74
Sep-80,,8.25,13.19
Oct-80,,8.25,13.77
Nov-80,,7.25,18.56
Dec-80,,7.25,22
Jan-81,,7.25,17.25
Feb-81,,7.25,15.53
Mar-81,,6.25,14.63
Apr-81,,6.25,18.92
May-81,,6.25,17.56
Jun-81,,6.25,18.64
Jul-81,,6.25,17.46
Aug-81,,6.25,16.83
Sep-81,,6.25,16.58
Oct-81,,6.25,14.44
Nov-81,,6.25,12.44
Dec-81,,5.5,13.13
Jan-82,,5.5,14.21
Feb-82,,5.5,13.74
Mar-82,,5.5,16.8
Apr-82,,5.5,15.28
May-82,,5.5,13.38
Jun-82,,5.5,14.58
Jul-82,,5.5,11.41
Aug-82,,5.5,10.63
Sep-82,,5.5,12.17
Oct-82,,5.5,9.41
Nov-82,,5.5,8.93
Dec-82,,5.5,11.2
Jan-83,,5.5,8.56
Feb-83,,5.5,8.53
Mar-83,,5.5,10.81
Apr-83,,5.5,8.84
May-83,,5.5,8.94
Jun-83,,5.5,10.06
Jul-83,,5.5,9.52
Aug-83,,5.5,9.59
Sep-83,,5.5,10.59
Oct-83,,5,9.43
Nov-83,,5,9.34
Dec-83,,5,9.92
Jan-84,,5,9.35
Feb-84,,5,9.45
Mar-84,,5,10.24
Apr-84,,5,10.9
May-84,,5,10.81
Jun-84,,5,10.85
Jul-84,,5,11.83
Aug-84,,5,11.64
Sep-84,,5,11.23
Oct-84,,5,9.99
Nov-84,,5,8.92
Dec-84,,5,8.74
Jan-85,,5,8.73
Feb-85,,5,8.74
Mar-85,,5,8.58
Apr-85,,5,8.58
May-85,,5,7.64
Jun-85,,5,7.95
Jul-85,,5,8.61
Aug-85,,5,7.8
Sep-85,,5,8.84
Oct-85,,5,8.08
Nov-85,,5,8.54
Dec-85,,5,7.75
Jan-86,,4.5,7.75
Feb-86,,4.5,7.75
Mar-86,,4,7.25
Apr-86,,3.5,6.75
May-86,,3.5,6.813
Jun-86,,3.5,6.875
Jul-86,,3.5,6.375
Aug-86,,3.5,5.875
Sep-86,,3.5,5.875
Oct-86,,3.5,5.875
Nov-86,,3,5.875
Dec-86,,3,5.875
Jan-87,,3,6
Feb-87,,2.5,6
Mar-87,,2.5,6
Apr-87,,2.5,6.5
May-87,,2.5,6.75
Jun-87,,2.5,6.75
Jul-87,,2.5,6.625
Aug-87,,2.5,6.75
Sep-87,,2.5,7.313
Oct-87,,2.5,7.313
Nov-87,,2.5,6.813
Dec-87,,2.5,6.813
Jan-88,,2.5,6.625
Feb-88,,2.5,6.5
Mar-88,,2.5,6.75
Apr-88,,2.5,6.75
May-88,,2.5,7.25
Jun-88,,2.5,7.438
Jul-88,,2.5,7.688
Aug-88,,2.5,8.125
Sep-88,,2.5,8.125
Oct-88,,2.5,8.125
Nov-88,,2.5,8.375
Dec-88,,2.5,8.688
Jan-89,,2.5,9
Feb-89,,2.5,9.75
Mar-89,,2.5,9.75
Apr-89,,2.5,9.75
May-89,,3.25,9.813
Jun-89,,3.25,9.563
Jul-89,,3.25,9.063
Aug-89,,3.25,9.063
Sep-89,,3.25,9.063
Oct-89,,3.75,8.75
Nov-89,,3.75,8.5
Dec-89,,4.25,8.25
Jan-90,,4.25,8.25
Feb-90,,4.25,8.25
Mar-90,,5.25,8.25
