Day,국민주택채권,산업금융채권,통화안정증권,서울지하철공채
06-Jan,547.9 ,1126.6 ,13340.0 ,57.6 
06-Feb,625.1 ,1803.8 ,14968.7 ,51.0 
06-Mar,746.4 ,1955.2 ,12050.0 ,46.8 
06-Apr,754.2 ,2021.5 ,8260.0 ,40.8 
06-May,875.7 ,2893.7 ,12730.0 ,41.1 
06-Jun,817.7 ,2437.0 ,11530.0 ,41.1 
06-Jul,719.7 ,2060.3 ,11970.0 ,38.2 
06-Aug,553.4 ,1306.8 ,15950.0 ,3.2 
06-Sep,779.8 ,2449.1 ,16780.0 ,7.7 
06-Oct,730.0 ,3584.0 ,12000.0 ,13.4 
06-Nov,2015.2 ,2036.8 ,12620.0 ,7.8 
06-Dec,1456.1 ,1081.8 ,7850.0 ,42.6 
07-Jan,744.7 ,4085.5 ,10430.0 ,57.0 
07-Feb,636.6 ,1719.2 ,11960.0 ,59.0 
07-Mar,709.2 ,2064.3 ,11460.0 ,48.6 
07-Apr,701.1 ,1959.4 ,9860.0 ,45.3 
07-May,774.8 ,2981.6 ,12750.0 ,44.6 
07-Jun,741.0 ,1468.1 ,12520.0 ,44.7 
07-Jul,671.9 ,2416.0 ,14970.0 ,45.2 
07-Aug,714.3 ,2427.1 ,18180.0 ,41.0 
07-Sep,559.5 ,2861.8 ,13010.0 ,37.1 
07-Oct,744.4 ,3169.3 ,17160.0 ,41.3 
07-Nov,793.0 ,1897.1 ,11040.0 ,39.2 
07-Dec,759.9 ,100.7 ,13350.0 ,50.0 
08-Jan,642.3 ,3199.5 ,15230.0 ,48.7 
08-Feb,564.8 ,981.2 ,14660.0 ,42.4 
08-Mar,738.8 ,2253.4 ,17890.0 ,58.6 
08-Apr,816.8 ,2569.2 ,18830.0 ,53.4 
08-May,852.5 ,901.9 ,11230.0 ,45.9 
08-Jun,915.0 ,763.0 ,6850.0 ,37.6 
08-Jul,977.0 ,1543.0 ,10330.0 ,44.0 
08-Aug,676.7 ,5061.5 ,14470.0 ,2.1 
08-Sep,651.2 ,2024.3 ,14520.0 ,2.7 
08-Oct,613.3 ,2846.4 ,6480.0 ,4.3 
08-Nov,467.5 ,2564.6 ,6770.0 ,6.5 
08-Dec,556.9 ,1811.0 ,14130.0 ,13.5 
09-Jan,453.1 ,2871.2 ,15970.0 ,48.6 
09-Feb,552.1 ,1280.6 ,19340.0 ,47.4 
09-Mar,727.2 ,1975.3 ,28340.0 ,47.7 
09-Apr,811.6 ,694.3 ,30470.0 ,43.9 
09-May,701.5 ,765.3 ,35660.0 ,56.2 
09-Jun,933.3 ,4188.8 ,51820.0 ,71.1 
09-Jul,855.9 ,2998.7 ,42760.0 ,50.7 
09-Aug,843.5 ,1562.4 ,37450.0 ,35.9 
09-Sep,901.8 ,1968.0 ,35420.0 ,52.4 
09-Oct,896.6 ,2571.4 ,28280.0 ,52.0 
09-Nov,857.3 ,1717.6 ,29660.0 ,52.7 
09-Dec,1010.5 ,739.8 ,20290.0 ,74.8 
10-Jan,624.4 ,1592.7 ,24160.0 ,50.3 
10-Feb,607.6 ,816.5 ,24590.0 ,53.0 
10-Mar,747.6 ,461.3 ,35080.0 ,57.9 
10-Apr,742.7 ,774.2 ,27340.0 ,52.3 
10-May,746.2 ,370.8 ,21800.0 ,47.3 
10-Jun,825.3 ,2081.9 ,25210.0 ,54.2 
10-Jul,700.0 ,1503.1 ,21900.0 ,49.1 
10-Aug,648.3 ,516.4 ,19140.0 ,46.1 
10-Sep,633.7 ,55.0 ,16150.0 ,50.8 
10-Oct,698.7 ,98.1 ,10820.0 ,51.5 
10-Nov,786.8 ,716.4 ,11400.0 ,50.5 
10-Dec,1177.6 ,189.6 ,10560.0 ,48.8 
11-Jan,696.8 ,287.9 ,12240.0 ,58.7 
11-Feb,691.8 ,1402.7 ,12000.0 ,44.9 
11-Mar,984.9 ,1478.9 ,23660.0 ,64.0 
11-Apr,894.5 ,1417.0 ,20020.0 ,58.7 
11-May,861.5 ,1131.7 ,22170.0 ,52.7 
11-Jun,870.6 ,977.9 ,18600.0 ,53.9 
11-Jul,810.4 ,871.6 ,16470.0 ,52.7 
11-Aug,804.1 ,1161.1 ,17730.0 ,47.0 
11-Sep,751.2 ,3515.5 ,12860.0 ,52.5 
11-Oct,745.5 ,358.5 ,12230.0 ,46.0 
11-Nov,822.9 ,134.2 ,13460.0 ,44.5 
11-Dec,1067.4 ,2288.4 ,15700.0 ,45.0 
12-Jan,608.4 ,828.3 ,14710.0 ,49.0 
12-Feb,717.0 ,1599.6 ,13680.0 ,51.7 
12-Mar,762.3 ,569.5 ,13880.0 ,56.0 
12-Apr,772.2 ,375.9 ,13840.0 ,45.1 
12-May,835.5 ,323.1 ,14760.0 ,48.4 
12-Jun,778.7 ,978.0 ,13890.0 ,45.6 
12-Jul,1166.5 ,208.5 ,13770.0 ,44.6 
12-Aug,701.7 ,6.2 ,12620.0 ,38.1 
