Day,한국(KOSPI),미국(NASDAQ),일본(NIKKEI)
Jan-80,105.89 ,161.75 ,6768.16 
Feb-80,103.74 ,158.03 ,6764.89 
Mar-80,105.00 ,131.00 ,6556.19 
Apr-80,116.09 ,139.99 ,6865.56 
May-80,116.43 ,150.45 ,6855.70 
Jun-80,112.62 ,157.78 ,6870.70 
Jul-80,112.71 ,171.81 ,6819.63 
Aug-80,112.65 ,181.52 ,6914.08 
Sep-80,110.35 ,187.76 ,7076.46 
Oct-80,105.71 ,192.78 ,7150.75 
Nov-80,106.93 ,208.15 ,7123.62 
Dec-80,106.87 ,202.34 ,7063.13 
Jan-81,105.70 ,197.81 ,7254.01 
Feb-81,104.10 ,198.01 ,7146.53 
Mar-81,107.40 ,210.18 ,7334.31 
Apr-81,122.40 ,216.74 ,7674.19 
May-81,126.30 ,223.47 ,7539.69 
Jun-81,150.80 ,215.75 ,7867.42 
Jul-81,148.10 ,211.63 ,7828.26 
Aug-81,140.10 ,195.75 ,7815.78 
Sep-81,132.30 ,180.03 ,7455.50 
Oct-81,123.00 ,195.24 ,7449.46 
Nov-81,132.40 ,201.37 ,7549.33 
Dec-81,131.30 ,195.84 ,7681.84 
Jan-82,125.65 ,188.39 ,7918.82 
Feb-82,128.78 ,179.43 ,7548.51 
Mar-82,127.83 ,175.65 ,7260.48 
Apr-82,121.40 ,184.70 ,7390.71 
May-82,114.57 ,178.54 ,7325.65 
Jun-82,123.64 ,171.30 ,7213.87 
Jul-82,125.08 ,167.35 ,7122.08 
Aug-82,121.94 ,177.71 ,7123.38 
Sep-82,119.71 ,187.65 ,6910.73 
Oct-82,121.91 ,212.63 ,7259.15 
Nov-82,123.66 ,232.31 ,7895.62 
Dec-82,128.99 ,232.41 ,8016.67 
Jan-83,118.27 ,248.35 ,8103.47 
Feb-83,123.50 ,260.67 ,8085.57 
Mar-83,119.80 ,270.80 ,8478.70 
Apr-83,131.44 ,293.06 ,8636.56 
May-83,125.76 ,308.73 ,8617.57 
Jun-83,122.44 ,318.70 ,8870.95 
Jul-83,125.04 ,303.96 ,9078.75 
Aug-83,118.82 ,292.42 ,9189.43 
Sep-83,117.71 ,296.65 ,9402.59 
Oct-83,121.42 ,274.55 ,9356.79 
Nov-83,117.63 ,285.67 ,9320.24 
Dec-83,121.21 ,278.60 ,9893.82 
Jan-84,124.08 ,268.43 ,10196.10 
Feb-84,129.66 ,252.57 ,10030.70 
Mar-84,133.35 ,250.78 ,10929.17 
Apr-84,135.60 ,247.44 ,10981.68 
May-84,130.48 ,232.82 ,9940.14 
Jun-84,130.28 ,239.65 ,10377.97 
Jul-84,134.54 ,229.70 ,9998.50 
Aug-84,136.11 ,254.64 ,10584.20 
Sep-84,134.14 ,249.94 ,10649.25 
Oct-84,129.82 ,247.03 ,11252.98 
Nov-84,135.54 ,242.53 ,11428.90 
Dec-84,142.46 ,247.35 ,11542.60 
Jan-85,138.90 ,278.70 ,11992.31 
Feb-85,134.93 ,284.17 ,12321.92 
Mar-85,136.46 ,279.20 ,12580.76 
Apr-85,134.15 ,280.56 ,12426.29 
May-85,134.09 ,290.80 ,12758.46 
Jun-85,136.58 ,296.20 ,12882.09 
Jul-85,137.38 ,301.29 ,12232.27 
Aug-85,136.49 ,297.71 ,12713.15 
Sep-85,138.91 ,280.33 ,12700.11 
Oct-85,140.89 ,292.54 ,12936.47 
Nov-85,150.16 ,313.95 ,12763.27 
Dec-85,163.37 ,325.22 ,13083.18 
Jan-86,160.42 ,335.77 ,13024.30 
Feb-86,175.91 ,359.53 ,13640.83 
Mar-86,199.76 ,374.72 ,15859.75 
Apr-86,202.91 ,383.24 ,15825.50 
May-86,231.06 ,400.16 ,16670.77 
Jun-86,243.36 ,405.51 ,17654.19 
Jul-86,273.75 ,371.37 ,17509.71 
Aug-86,264.64 ,382.86 ,18533.68 
Sep-86,253.45 ,350.67 ,17852.86 
Oct-86,240.79 ,360.77 ,16910.63 
Nov-86,268.98 ,359.57 ,18083.02 
Dec-86,272.61 ,348.83 ,18820.65 
Jan-87,310.22 ,392.06 ,20048.35 
Feb-87,334.98 ,424.97 ,20421.66 
Mar-87,405.13 ,430.05 ,21566.66 
Apr-87,358.63 ,417.81 ,23274.83 
May-87,387.99 ,416.54 ,24772.39 
Jun-87,411.76 ,424.67 ,24176.40 
Jul-87,485.48 ,434.93 ,24488.11 
Aug-87,474.01 ,454.97 ,26029.22 
Sep-87,485.35 ,444.29 ,26010.88 
Oct-87,509.05 ,323.30 ,22765.04 
Nov-87,475.59 ,305.16 ,22686.78 
Dec-87,525.11 ,330.47 ,21564.00 
Jan-88,633.58 ,344.66 ,23622.32 
Feb-88,612.35 ,366.95 ,25242.81 
Mar-88,656.47 ,374.64 ,26260.26 
Apr-88,647.18 ,379.24 ,27434.12 
May-88,717.35 ,370.34 ,27416.70 
Jun-88,702.83 ,394.66 ,27769.40 
Jul-88,721.08 ,387.33 ,27911.63 
Aug-88,664.43 ,376.55 ,27365.95 
Sep-88,677.54 ,387.71 ,27923.67 
Oct-88,729.79 ,382.46 ,27982.54 
Nov-88,831.12 ,371.45 ,29578.90 
Dec-88,907.20 ,381.38 ,30159.00 
Jan-89,884.29 ,401.30 ,31581.30 
Feb-89,917.90 ,399.71 ,31985.60 
Mar-89,1003.31 ,406.73 ,32838.68 
Apr-89,940.54 ,427.55 ,33713.35 
May-89,932.76 ,446.17 ,34266.75 
Jun-89,854.61 ,434.12 ,32948.69 
Jul-89,895.66 ,453.84 ,34953.87 
Aug-89,975.28 ,469.33 ,34431.20 
Sep-89,942.41 ,472.92 ,35636.76 
Oct-89,894.02 ,455.63 ,35549.44 
Nov-89,906.33 ,456.09 ,37268.79 
Dec-89,909.72 ,454.82 ,38915.87 
Jan-90,896.16 ,415.81 ,37188.95 
Feb-90,861.59 ,425.83 ,34591.99 
Mar-90,840.89 ,435.54 ,29980.45 
Apr-90,688.66 ,420.07 ,29584.80 
May-90,797.95 ,458.97 ,33130.80 
Jun-90,706.79 ,462.29 ,31940.24 
Jul-90,678.38 ,438.24 ,31035.66 
